round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,122000,30354,3679570,9780,45657,3887361
2,75432,81436,3701276,19724,77140,3955008
3,80420,84789,3698364,9911,12490,3885974
4,77203,80631,3667690,4498,25507,3855529
5,77410,31591,3686301,6280,60621,3862203
6,72334,33644,3657425,5744,18289,3787436
7,62293,31043,3685407,5928,53320,3837991
8,60796,63560,3689457,7598,57930,3879341
9,65484,59789,3707369,64566,76765,3973973
10,81359,59109,3683501,11608,51284,3886861
11,86529,62832,3695655,7545,80852,3933413
12,72726,31074,3659061,6274,15839,3784974
13,96312,32052,3678259,44731,45490,3896844
14,48142,31655,3677313,63697,74603,3895410
15,48936,30646,3679888,8496,49108,3817074
16,83953,63352,3654340,3116,15186,3819947
17,55833,29985,3649597,5354,7988,3748757
18,45240,29820,3651502,5420,9597,3741579
19,52300,29574,3693115,4878,10248,3790115
20,45582,29859,3654615,4312,10833,3745201
21,50359,29666,3650885,3852,8511,3743273
22,84997,68288,3709731,7529,45042,3915587
23,78874,60895,3703645,24716,11749,3879879
24,79852,68148,3688061,5200,11775,3853036
25,80864,68802,3681490,5436,13050,3849642
26,86367,61608,3710879,7816,45416,3912086
27,77122,66934,3652599,3938,9907,3810500
28,82812,30178,3686791,4128,15279,3819188
29,89347,65056,3711354,7729,48117,3921603
30,81651,70283,3711252,7622,44693,3915501
31,80814,67278,3708848,7836,45041,3909817
32,80038,63546,3689006,5500,12557,3850647
33,83073,77011,3682522,5513,12630,3860749
34,84052,58489,3680510,4779,9799,3837629
35,77250,60610,3709106,7810,44659,3899435
36,86975,62604,3654448,5200,11426,3820653
37,66878,32479,3711205,8510,52675,3871747
38,105258,60815,3679536,4748,10032,3860389
39,77064,66174,3704790,7922,44661,3900611
40,90623,60516,3681788,4762,9870,3847559
41,65631,32888,3686278,3171,15896,3803864
42,84854,61606,3710930,8096,45257,3910743
43,80894,62261,3708550,8115,44654,3904474
44,78178,62611,3679662,4761,9627,3834839
45,82462,71211,3685663,3309,14245,3856890
46,88221,72478,3678544,5075,11991,3856309
47,73101,75576,3776683,4805,9890,3940055
48,82020,69853,3725743,5031,10107,3892754
49,84097,75414,3682233,5496,12639,3859879
50,94049,84051,3757159,3709,16695,3955663
