ins_idx,latency(cycles),latency(ns)
1,54982,219928
2,14278,57112
3,6641,26564
4,3441,13764
5,20941,83764
6,6642,26568
7,12576,50304
8,9427,37708
9,20942,83768
10,6641,26564
11,12576,50304
12,9428,37712
13,20910,83640
14,6642,26568
15,12576,50304
16,10996,43984
17,6627,26508
18,12341,49364
19,4987,19948
20,6304,25216
21,5638,22552
22,12337,49348
23,5636,22544
24,6304,25216
25,5665,22660
26,12336,49344
27,5637,22548
28,6304,25216
29,5642,22568
30,12338,49352
31,5602,22408
32,6304,25216
33,5602,22408
34,12336,49344
35,5602,22408
36,6304,25216
37,5642,22568
38,12336,49344
39,5602,22408
40,6304,25216
41,5636,22544
42,12339,49356
43,5604,22416
44,6304,25216
45,5634,22536
46,12335,49340
47,5615,22460
48,6304,25216
49,17239,68956
50,4493,17972
51,13299,53196
52,8742,34968
53,3360,13440
54,8744,34976
55,13300,53200
56,8747,34988
57,3360,13440
58,8820,35280
59,13299,53196
60,8750,35000
61,3360,13440
62,8742,34968
63,13300,53200
64,8748,34992
65,3360,13440
66,8746,34984
67,13299,53196
68,8740,34960
69,3360,13440
70,8826,35304
71,13300,53200
72,8740,34960
73,3360,13440
74,8744,34976
75,13299,53196
76,8746,34984
77,3360,13440
78,8742,34968
79,13300,53200
80,8745,34980
81,3360,13440
82,8748,34992
83,13300,53200
84,8820,35280
85,3360,13440
86,8746,34984
87,13300,53200
88,8739,34956
89,3360,13440
90,8752,35008
91,19382,77528
92,8747,34988
93,3360,13440
94,8741,34964
95,19349,77396
96,8742,34968
97,3360,13440
98,8741,34964
99,19393,77572
100,8740,34960
101,3360,13440
102,8744,34976
103,19347,77388
104,8743,34972
105,3360,13440
106,8748,34992
107,19394,77576
108,8742,34968
109,3360,13440
110,8743,34972
111,19392,77568
112,8738,34952
113,3360,13440
114,8747,34988
115,19394,77576
116,8749,34996
117,3360,13440
118,8736,34944
119,19437,77748
120,8744,34976
121,3360,13440
122,8821,35284
123,19387,77548
124,8749,34996
125,3360,13440
126,8749,34996
127,19352,77408
128,8743,34972
129,3360,13440
130,8762,35048
131,19384,77536
132,8742,34968
133,3360,13440
134,8744,34976
135,19427,77708
136,8743,34972
137,3360,13440
138,8742,34968
139,19388,77552
140,8742,34968
141,3360,13440
142,8787,35148
143,19398,77592
144,8752,35008
145,3360,13440
146,8741,34964
147,19386,77544
148,8744,34976
149,3360,13440
150,8826,35304
151,19403,77612
152,8818,35272
153,3360,13440
154,8742,34968
155,19430,77720
156,8737,34948
157,3360,13440
158,8742,34968
159,19353,77412
160,8748,34992
161,3360,13440
162,8745,34980
163,19388,77552
164,8754,35016
165,3360,13440
166,8740,34960
167,19395,77580
168,8806,35224
169,3360,13440
170,8742,34968
171,19428,77712
172,8743,34972
173,3360,13440
174,8744,34976
175,19352,77408
176,8743,34972
177,3360,13440
178,8745,34980
179,19387,77548
180,8747,34988
181,3360,13440
182,8745,34980
183,19391,77564
184,8738,34952
185,3360,13440
186,8742,34968
187,19407,77628
188,8818,35272
189,3360,13440
190,8739,34956
191,19405,77620
192,8745,34980
193,3360,13440
194,12660,50640
195,8577,34308
196,13299,53196
197,6071,24284
198,2080,8320
199,6071,24284
200,13299,53196
201,6071,24284
202,2080,8320
203,6071,24284
204,13300,53200
205,6071,24284
206,2080,8320
207,50342,201368
208,33548,134192
